大众POLO 2011款 劲取 1.6L 手动实酷版,2012-02,7.22万公里,1.6L,手动,3.33
大众POLO 2011款 1.4L 手动致乐版,2012-11,8.73万公里,1.4L,手动,3.35
凯迪拉克ATS-L 2017款 28T 技术型,2017-07,3.92万公里,2.0T,自动,16.74
长城 风骏5 2017款 2.0T欧洲版柴油两驱精英型大双排GW4D20D,2019-06,1.26万公里,2.0T,手动,7.75
雪佛兰 科鲁泽 2019款 Redline 320T 双离合欢快版 国VI,2019-12,0.17万公里,1.0T,自动,8.56
启辰D50 2013款 1.6L 手动时尚版,2015-02,2.21万公里,1.6L,手动,3.59
别克 昂科威 2014款 28T 四驱豪华型,2015-01,11.03万公里,2.0T,自动,13.84
福特 福睿斯 2015款 1.5L 自动时尚型,2015-12,6.52万公里,1.5L,自动,6.98
吉利 远景 2018款 1.5L 自动幸福版,2018-04,2.23万公里,1.5L,自动,5.68
日产 骊威 2013款 1.6XE 手动舒适版,2015-03,12.11万公里,1.6L,手动,3.82
斯柯达 柯珞克 2018款 TSI280 豪华版 国V,2018-06,0.54万公里,1.4T,自动,12.08
荣威ei6 2019款 PLUS 50T 互联网荣耀旗舰版,2019-08,0.31万公里,1.5T,自动,12.08
丰田C-HR 2018款 2.0L 领先版 国VI,2019-09,0.54万公里,2.0L,自动,12.28
长安 逸动 2014款 1.6L 手动豪华型,2016-01,3.53万公里,1.6L,手动,3.71
宝骏310 2016款 1.2L 手动超值型,2018-09,3.72万公里,1.2L,手动,2.98
北汽绅宝 绅宝X55 2016款 1.5L 手动精英版,2016-04,5万公里,1.5L,手动,3.45
北汽绅宝 绅宝X25 2015款 1.5L 手动精英型,2016-12,3.04万公里,1.5L,手动,3.35
丰田 奕泽IZOA 2018款 2.0L 奕驰版 国V,2018-09,0.8万公里,2.0L,自动,11.91
本田 思域 2016款 220TURBO CVT豪华版,2019-03,1万公里,1.5T,自动,12.84
本田XR-V 2017款 1.8L EXi CVT舒适版,2019-03,0.92万公里,1.8L,自动,12.88
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,2014-12,6.97万公里,2.0L,自动,7.44
日产 轩逸 2018款 经典 1.6XE+ 手动领先版,2018-10,1.14万公里,1.6L,手动,6.14
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.42
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.42
MG 锐行 2016款 1.5L 自动超值豪华版,2020-01,0.01万公里,1.5L,自动,6.42
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.49
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.49
本田 思域 2016款 220TURBO CVT尊贵版,2017-03,2.23万公里,1.5T,自动,15.58
大众 迈腾 2017款 330TSI DSG 领先型,2017-08,2.11万公里,1.8T,自动,15.80
日产 途达 2018款 2.5L 自动两驱豪华版,2018-10,2.27万公里,2.5L,自动,15.81
宝马7系 2014款 730Li 臻享型(进口),2015-04,6.66万公里,3.0L,自动,39.06
奥迪A5 2012款 2.0TFSI Coupe quattro(进口),2013-05,6.03万公里,2.0T,自动,18.51
海马M3 2016款 1.5L 手动时尚型,2018-01,2.24万公里,1.5L,手动,3.54
哈弗H2 2017款 蓝标 1.5T 手动两驱豪华型,2016-12,6.35万公里,1.5T,手动,5.58
本田 锋范 2017款 1.5L CVT舒适版,2018-10,1.14万公里,1.5L,自动,6.79
马自达CX-4 2018款 2.0L 自动两驱蓝天探索版 国V,2018-07,2.02万公里,2.0L,自动,13.01
本田 思域 2016款 220TURBO CVT豪华版,2018-03,2.38万公里,1.5T,自动,12.65
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-10,4.14万公里,1.6L,手动,4.56
长安 逸动 2016款 1.6L 手动风尚型,2017-03,4.53万公里,1.6L,手动,4.36
五菱宏光 2018款 1.5L 经典款S基本型,2017-07,5.95万公里,1.5L,手动,4.05
日产 阳光 2014款 1.5XE 手动舒适版,2016-08,7.66万公里,1.5L,手动,4.28
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2017-11,1.18万公里,1.6L,自动,7.54
宝马5系 2014款 525Li 豪华设计套装,2015-01,5.46万公里,2.0T,自动,26.04
中华V3 2016款 1.5T 手动精英型,2016-12,3.51万公里,1.5T,手动,5.23
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-01,3.57万公里,1.6L,手动,5.08
福特 撼路者 2016款 2.0T 汽油自动两驱豪华版,2016-06,4.89万公里,2.0T,自动,14.95
丰田 汉兰达 2013款 2.7L 两驱7座探索版,2014-02,12.03万公里,2.7L,自动,17.67
哈弗H6 2017款 蓝标 运动版 1.5T 自动两驱豪华型,2017-01,1.56万公里,1.5T,自动,7.71
宝骏730 2016款 1.5L 手动豪华型 7座,2016-04,4.72万公里,1.5L,手动,5.40
凯迪拉克XTS 2017款 28T 技术型,2017-01,10.48万公里,2.0T,自动,16.74
大众POLO 2014款 1.6L 自动舒适版,2016-01,2.47万公里,1.6L,自动,6.40
江淮 瑞风S3 2017款 1.6L CVT豪华智能型,2017-01,3.42万公里,1.6L,自动,5.85
宝骏510 2017款 1.5L 手动时尚型,2018-02,5.8万公里,1.5L,手动,4.73
福特 锐界 2016款 EcoBoost 245 两驱铂锐型 7座,2017-01,9.22万公里,2.0T,自动,16.44
马自达3星骋 2015款 三厢 1.6L 手动精英型,2016-01,6.75万公里,1.6L,手动,5.01
宝骏510 2017款 1.5L 手动豪华型,2017-10,5.08万公里,1.5L,手动,4.98
日产 骐达 2019款 1.6L CVT智享版 国V,2019-01,1.1万公里,1.6L,自动,9.87
大众 宝来 2018款 1.5L 自动时尚型,2018-02,1.87万公里,1.5L,自动,7.43
五菱宏光S3 2018款 1.5L 手动舒适型 国V,2018-01,2.75万公里,1.5L,手动,6.01
大众 途观L 2018款 330TSI 自动两驱豪华版,2018-06,2.28万公里,2.0T,自动,17.77
大众 迈腾 2019款 330TSI DSG 豪华型 国V,2018-11,3.14万公里,2.0T,自动,16.56
传祺GA6 2016款 235T DCT豪华版,2018-10,2.64万公里,1.5T,自动,7.91
比亚迪 宋 2016款 2.0TID 自动豪华型,2017-04,5.57万公里,2.0T,自动,5.94
本田 飞度 2014款 1.5L LX CVT舒适型,2015-01,4.58万公里,1.5L,自动,5.86
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国VI,2019-09,0.87万公里,1.5L,自动,10.98
本田 缤智 2017款 1.5L CVT两驱舒适型,2019-03,0.98万公里,1.5L,自动,11.38
大众 高尔夫 2017款 280TSI 自动R-Line百万辆纪念版,2017-10,3.94万公里,1.4T,自动,12.84
大众 途观 2016款 300TSI 自动两驱风尚版,2016-12,3.2万公里,1.8T,自动,12.84
本田 杰德 2016款 1.8L 自动舒适精英版 5座,2016-08,3.32万公里,1.8L,自动,12.56
大众 朗逸 2015款 1.6L 手动风尚版,2016-01,12.44万公里,1.6L,手动,5.57
哈弗H4 2018款 蓝标 1.5GDIT DCT风尚型,2018-04,0.48万公里,1.5T,自动,8.19
